Site code,Site name,Site status,Country,CP2 Region,Feature type (broad),Feature type (specific),Feature code,Marine features protected,Common name,Population type
UK0030387,Anton Dohrn Seamount,SAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UK0030368,Bassurelle Sandbank,SAC,England offshore,Eastern Channel,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UK0030357,Braemar Pockmarks,SAC,Scotland offshore,Northern North Sea,habitat,Annex I habitat,1180,Submarine structures made by leaking gases,,
UK0030396,Bristol Channel Approaches / Dynesfeydd Môr Hafren,SAC,England inshore & England offshore & Wales inshore & Wales offshore,Western Channel and Celtic Sea,species,Annex II species,1351,Phocoena phocoena,Harbour porpoise,
UKMCZ0076,Cape Bank,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0076,Cape Bank,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKNCMPA020,Central Fladen,NCMPA,Scotland offshore,Northern North Sea,habitat,Habitat,,Burrowed mud,,
UKNCMPA020,Central Fladen,NCMPA,Scotland offshore,Northern North Sea,geology,Geodiversity,,Quaternary of Scotland: Sub-glacial tunnel valley,,
UK0030381,Croker Carbonate Slabs,SAC,Wales offshore,Irish Sea,habitat,Annex I habitat,1180,Submarine structures made by leaking gases,,
UK0030317,Darwin Mounds,SAC,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Annex I habitat,1170,Reefs,,
UK0030352,Dogger Bank,SAC,England offshore,Southern North Sea,habitat,Annex I habitat,1110,Sandbanks which are slightly covered by sea water all the time,,
UKNCMPA021,East of Gannet and Montrose Fields,NCMPA,Scotland offshore,Northern North Sea,habitat,Habitat,,Offshore deep sea muds,,
UKNCMPA021,East of Gannet and Montrose Fields,NCMPA,Scotland offshore,Northern North Sea,species,Low or limited mobility species,,Arctica islandica,Ocean quahog,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat mosaic,A5.1/A5.4,Subtidal coarse sediment and subtidal mixed sediments mosaic,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,species,FOCI species,SOCI_5,Atrina fragilis,Fan mussel,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,Broad-scale habitat,A4.1,High energy circalittoral rock,,
UKMCZ0023,East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKMCZ0077,East of Start Point,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UK0030389,East Rockall Bank,SAC,Scotland offshore,Atlantic North-West Approaches,habitat,Annex I habitat,1170,Reefs,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A4.2,Moderate energy circalittoral rock,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.1,Subtidal coarse sediment,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.2,Subtidal sand,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.3,Subtidal mud,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,Broad-scale habitat,A5.4,Subtidal mixed sediments,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,habitat,FOCI habitat,HOCI_18,Sea-pen and burrowing megafauna communities,,
UKMCZ0043,Farnes East,MCZ - Secretary of State,England inshore & England offshore,Northern North Sea,species,FOCI species,SOCI_3,Arctica islandica,Ocean quahog,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Deep sea sponge aggregations,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Habitat,,Offshore subtidal sands and gravels,,
UKNCMPA022,Faroe-Shetland Sponge Belt,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,habitat,Large-scale feature,,Continental slope,,
